datetime,open,high,low,close
2025-04-29 12:00:00,1.13929,1.14021,1.13873,1.13994
2025-04-29 12:15:00,1.13996,1.14011,1.13883,1.13960
2025-04-29 12:30:00,1.13966,1.14054,1.13927,1.14044
2025-04-29 12:45:00,1.14057,1.14126,1.1399,1.14040
2025-04-29 13:00:00,1.14037,1.14089,1.13815,1.13889
2025-04-29 13:15:00,1.13916,1.13991,1.13904,1.13962
2025-04-29 13:30:00,1.13960,1.13976,1.13856,1.13871
2025-04-29 13:45:00,1.13872,1.13914,1.13809,1.13861
2025-04-29 14:00:00,1.13853,1.13946,1.13845,1.13912
2025-04-29 14:15:00,1.13918,1.13978,1.13878,1.13946
2025-04-29 14:30:00,1.13964,1.1397,1.13857,1.13868
2025-04-29 14:45:00,1.13864,1.13888,1.13801,1.13807
2025-04-29 15:00:00,1.13807,1.13857,1.13779,1.13813
2025-04-29 15:15:00,1.13816,1.13829,1.13754,1.13800
2025-04-29 15:30:00,1.13808,1.13842,1.13748,1.13776
2025-04-29 15:45:00,1.13776,1.13794,1.13725,1.13772
2025-04-29 16:00:00,1.13786,1.13875,1.1377,1.13840
2025-04-29 16:15:00,1.13836,1.13863,1.13781,1.13817
2025-04-29 16:30:00,1.13817,1.13827,1.13749,1.13814
2025-04-29 16:45:00,1.13816,1.13844,1.13707,1.13746
2025-04-29 17:00:00,1.13748,1.13772,1.13712,1.13740
2025-04-29 17:15:00,1.13748,1.1389,1.13698,1.13865
2025-04-29 17:30:00,1.13864,1.14019,1.13838,1.14010
2025-04-29 17:45:00,1.14038,1.14151,1.13952,1.14115
2025-04-29 18:00:00,1.14106,1.14118,1.13981,1.14084
2025-04-29 18:15:00,1.14078,1.14177,1.14055,1.14073
2025-04-29 18:30:00,1.14078,1.14151,1.13959,1.13983
2025-04-29 18:45:00,1.13989,1.14043,1.13895,1.13966
2025-04-29 19:00:00,1.13938,1.14185,1.13908,1.13966
2025-04-29 19:15:00,1.13966,1.14097,1.13893,1.14060
2025-04-29 19:30:00,1.14064,1.14089,1.13928,1.13956
2025-04-29 19:45:00,1.13948,1.13955,1.13786,1.13828
2025-04-29 20:00:00,1.13830,1.14026,1.13816,1.13953
2025-04-29 20:15:00,1.13953,1.1404,1.13922,1.13999
2025-04-29 20:30:00,1.13996,1.14047,1.1396,1.14006
2025-04-29 20:45:00,1.14004,1.1405,1.13952,1.13963
2025-04-29 21:00:00,1.13959,1.14089,1.1395,1.14050
2025-04-29 21:15:00,1.14043,1.14193,1.14023,1.14125
2025-04-29 21:30:00,1.14125,1.14175,1.14058,1.14066
2025-04-29 21:45:00,1.14062,1.14068,1.13987,1.14034
2025-04-29 22:00:00,1.14033,1.14053,1.1391,1.13946
2025-04-29 22:15:00,1.13953,1.14001,1.13912,1.13990
2025-04-29 22:30:00,1.13993,1.14012,1.13938,1.13968
2025-04-29 22:45:00,1.13967,1.13988,1.13833,1.13854
2025-04-29 23:00:00,1.13854,1.13937,1.13767,1.13827
2025-04-29 23:15:00,1.13834,1.13841,1.13757,1.13782
2025-04-29 23:30:00,1.13784,1.13851,1.13778,1.13800
2025-04-29 23:45:00,1.13793,1.13832,1.13768,1.13821
2025-04-30 00:00:00,1.13821,1.13889,1.13791,1.138
2025-04-30 00:15:00,1.13799,1.13889,1.13786,1.13838
2025-04-30 00:30:00,1.13837,1.13866,1.13795,1.13801
2025-04-30 00:45:00,1.13800,1.13835,1.13755,1.13813
2025-04-30 01:00:00,1.13816,1.13889,1.13801,1.13882
2025-04-30 01:15:00,1.13884,1.13924,1.13867,1.13898
2025-04-30 01:30:00,1.13898,1.13913,1.13869,1.13891
2025-04-30 01:45:00,1.13887,1.13899,1.13829,1.13835
2025-04-30 02:00:00,1.1388,1.13953,1.13846,1.13893
2025-04-30 02:15:00,1.13843,1.13844,1.13825,1.13844
2025-04-30 03:00:00,1.13880,1.13906,1.13873,1.13897
2025-04-30 03:15:00,1.13896,1.13964,1.13888,1.13956
2025-04-30 03:30:00,1.13956,1.1396,1.13874,1.13880
2025-04-30 03:45:00,1.13878,1.13952,1.13874,1.13918
2025-04-30 04:00:00,1.13919,1.13935,1.13874,1.13896
2025-04-30 04:15:00,1.13897,1.13934,1.13874,1.1388
2025-04-30 04:30:00,1.13883,1.13931,1.13878,1.13921
2025-04-30 04:45:00,1.13921,1.13937,1.13859,1.13904
2025-04-30 05:00:00,1.13905,1.13949,1.13883,1.13931
2025-04-30 05:15:00,1.1393,1.13957,1.13893,1.13911
2025-04-30 05:30:00,1.13915,1.13922,1.13854,1.13865
2025-04-30 05:45:00,1.13866,1.13875,1.13766,1.13841
2025-04-30 06:00:00,1.13826,1.13843,1.13782,1.13836
2025-04-30 06:15:00,1.13838,1.13868,1.13791,1.13824
2025-04-30 06:30:00,1.13826,1.13869,1.13803,1.13831
2025-04-30 06:45:00,1.13826,1.13831,1.13567,1.13594
2025-04-30 07:00:00,1.13587,1.13666,1.13545,1.13656
2025-04-30 07:15:00,1.1365,1.13707,1.13647,1.13681
2025-04-30 07:30:00,1.13685,1.1372,1.13639,1.13665
2025-04-30 07:45:00,1.13667,1.1373,1.13651,1.13705
2025-04-30 08:00:00,1.13706,1.1376,1.13703,1.13749
2025-04-30 08:15:00,1.1375,1.1379,1.13736,1.13778
2025-04-30 08:30:00,1.13790,1.13802,1.13673,1.13704
2025-04-30 08:45:00,1.13702,1.13734,1.13663,1.13688
2025-04-30 09:00:00,1.13688,1.13746,1.13663,1.13729
2025-04-30 09:15:00,1.13728,1.13771,1.137,1.13738
2025-04-30 09:30:00,1.13739,1.13789,1.13713,1.13721
2025-04-30 09:45:00,1.13722,1.13752,1.13706,1.13732
2025-04-30 10:00:00,1.13731,1.13782,1.13713,1.13751
2025-04-30 10:15:00,1.13752,1.13782,1.13742,1.13776
2025-04-30 10:30:00,1.13771,1.13818,1.13761,1.13787
2025-04-30 10:45:00,1.13784,1.1385,1.13775,1.13830
2025-04-30 11:00:00,1.13826,1.13831,1.13652,1.13735
2025-04-30 11:15:00,1.13736,1.13901,1.13726,1.13891
2025-04-30 11:30:00,1.13886,1.13979,1.13858,1.1394
2025-04-30 11:45:00,1.13934,1.14,1.13865,1.13894
2025-04-30 12:00:00,1.139,1.13905,1.13806,1.13876
2025-04-30 12:15:00,1.13886,1.13909,1.13801,1.13806
2025-04-30 12:30:00,1.13803,1.13806,1.13739,1.13759
2025-04-30 12:45:00,1.13758,1.13861,1.13732,1.13783
2025-04-30 13:00:00,1.13792,1.13855,1.13692,1.13783
2025-04-30 13:15:00,1.13785,1.1379,1.1362,1.13649
2025-04-30 13:30:00,1.13658,1.13712,1.13626,1.13645
2025-04-30 13:45:00,1.13644,1.13755,1.13637,1.13727
